order_id,order_complexity,supplier_a,material_lead_time,machine_queue_length,export_flag,approval_duration,carrier_express,shipment_delay,machine_id,worker_id,material_id,shipment_id,timestamp
ORD_0000,1.0,0.0,2.8703684585995584,0.7405869332938666,1.0,8.04444712521141,1.0,1.1971664121080035,MCH_01,WRK_01,MAT_B,SHP_0000,2023-01-01 00:00:00
ORD_0001,8.0,1.0,8.92031115878582,6.286832281800063,0.0,10.595685309205868,0.0,9.406309966639888,MCH_02,WRK_02,MAT_A,SHP_0001,2023-01-01 06:00:00
ORD_0002,7.0,0.0,1.4169926219300706,6.645389241380092,0.0,11.584038889376817,0.0,1.916217999106673,MCH_03,WRK_03,MAT_B,SHP_0002,2023-01-01 12:00:00
ORD_0003,5.0,1.0,9.86776476401199,4.011119846402395,0.0,9.714226838813245,1.0,8.427893618520216,MCH_04,WRK_04,MAT_A,SHP_0003,2023-01-01 18:00:00
ORD_0004,5.0,1.0,10.290842593972252,4.497245040178796,0.0,7.356518956934921,1.0,8.132512531120494,MCH_05,WRK_05,MAT_A,SHP_0004,2023-01-02 00:00:00
ORD_0005,9.0,1.0,9.53220520160037,7.625914115017951,1.0,15.969095407602675,0.0,9.951715015388137,MCH_06,WRK_06,MAT_A,SHP_0005,2023-01-02 06:00:00
ORD_0006,1.0,0.0,1.0708853319330423,1.5594921391520065,0.0,4.903023830355503,0.0,0.8331546398824574,MCH_07,WRK_07,MAT_B,SHP_0006,2023-01-02 12:00:00
ORD_0007,7.0,1.0,8.411793306968539,8.122504331523123,1.0,16.780824097163975,1.0,8.385158831846649,MCH_08,WRK_08,MAT_A,SHP_0007,2023-01-02 18:00:00
ORD_0008,3.0,0.0,0.9582908782510071,4.261947589430517,1.0,10.347248236602955,1.0,-0.3039672692390971,MCH_01,WRK_09,MAT_B,SHP_0008,2023-01-03 00:00:00
ORD_0009,1.0,0.0,0.6859023096484953,2.016129415276004,1.0,9.230066004805032,1.0,-0.717067295794847,MCH_02,WRK_10,MAT_B,SHP_0009,2023-01-03 06:00:00
ORD_0010,6.0,1.0,9.58758828755767,5.538973719419163,0.0,11.32385874364578,1.0,7.8625015225832025,MCH_03,WRK_11,MAT_A,SHP_0010,2023-01-03 12:00:00
ORD_0011,10.0,1.0,10.40003513736642,8.766767343376978,1.0,19.177236646647668,1.0,10.470675442224438,MCH_04,WRK_12,MAT_A,SHP_0011,2023-01-03 18:00:00
ORD_0012,8.0,1.0,9.489267370460153,7.92774646995195,0.0,14.414151851859481,0.0,10.561925688123312,MCH_05,WRK_13,MAT_A,SHP_0012,2023-01-04 00:00:00
ORD_0013,8.0,1.0,7.6916681941297185,8.18416907335229,1.0,15.817048429404215,0.0,8.332965005463867,MCH_06,WRK_14,MAT_A,SHP_0013,2023-01-04 06:00:00
ORD_0014,8.0,1.0,9.34739163173236,6.6923824938994,0.0,12.503834215076479,1.0,9.908400978117374,MCH_07,WRK_15,MAT_A,SHP_0014,2023-01-04 12:00:00
ORD_0015,8.0,1.0,9.369760802693914,7.636480755614232,1.0,14.414341305878423,1.0,9.126544933764336,MCH_08,WRK_01,MAT_A,SHP_0015,2023-01-04 18:00:00
ORD_0016,6.0,1.0,11.176799000180353,3.968380431336974,1.0,11.746259266384593,1.0,10.115755678705028,MCH_01,WRK_02,MAT_A,SHP_0016,2023-01-05 00:00:00
ORD_0017,2.0,0.0,0.934289669664355,3.0117137841705968,1.0,10.723048215000102,1.0,0.3336126034689914,MCH_02,WRK_03,MAT_B,SHP_0017,2023-01-05 06:00:00
ORD_0018,9.0,1.0,9.187457917920643,9.162149241958687,1.0,20.973829258577673,0.0,9.129801260876647,MCH_03,WRK_04,MAT_A,SHP_0018,2023-01-05 12:00:00
ORD_0019,5.0,1.0,10.864682144435651,4.919931373119125,1.0,11.749707596329577,0.0,10.355654351451832,MCH_04,WRK_05,MAT_A,SHP_0019,2023-01-05 18:00:00
ORD_0020,6.0,0.0,2.4599826730772385,7.816526996140106,1.0,15.940131606571919,1.0,2.6835043223962307,MCH_05,WRK_06,MAT_B,SHP_0020,2023-01-06 00:00:00
ORD_0021,4.0,0.0,2.55065045881314,3.5187615525639497,0.0,7.983479789007276,0.0,2.936952838590127,MCH_06,WRK_07,MAT_B,SHP_0021,2023-01-06 06:00:00
ORD_0022,2.0,0.0,2.1916675496191025,3.0174404153032612,1.0,10.27720898125171,1.0,1.5825613898641715,MCH_07,WRK_08,MAT_B,SHP_0022,2023-01-06 12:00:00
ORD_0023,10.0,1.0,9.763954830925812,9.164175253334044,1.0,18.47145647070979,1.0,9.767859152130809,MCH_08,WRK_09,MAT_A,SHP_0023,2023-01-06 18:00:00
ORD_0024,8.0,1.0,10.122087624222829,7.499702332556592,1.0,15.785563219009356,0.0,11.209504493015272,MCH_01,WRK_10,MAT_A,SHP_0024,2023-01-07 00:00:00
ORD_0025,7.0,1.0,8.852410944885786,6.685677831995253,0.0,14.094972281841468,1.0,8.345509815790859,MCH_02,WRK_11,MAT_A,SHP_0025,2023-01-07 06:00:00
